movie_id,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
